iter	Passed	Remaining
0	288	57430
1	608	60209
2	902	59282
3	1137	55756
4	1421	55441
5	1640	53033
6	1877	51763
7	2107	50590
8	2348	49830
9	2552	48492
10	2754	47320
11	3005	47087
12	3232	46497
13	3468	46081
14	3695	45576
15	3927	45169
16	4175	44948
17	4401	44503
18	4630	44115
19	4833	43498
20	5052	43069
21	5285	42767
22	5542	42652
23	5801	42541
24	6078	42547
25	6316	42269
26	6554	41998
27	6785	41682
28	7023	41411
29	7259	41135
30	7508	40931
31	7761	40746
32	8015	40563
33	8265	40353
34	8481	39984
35	8712	39689
36	8964	39491
37	9186	39163
38	9446	38997
39	9663	38655
40	9909	38430
41	10155	38202
42	10383	37911
43	10642	37732
44	10872	37448
45	11083	37106
46	11345	36932
47	11563	36619
48	11822	36431
49	12073	36220
50	12310	35965
51	12620	35920
52	12889	35749
53	13154	35566
54	13420	35380
55	13684	35188
56	13938	34967
57	14178	34711
58	14399	34412
59	14649	34183
60	14854	33849
61	15093	33594
62	15321	33318
63	15566	33078
64	15844	32908
65	16086	32659
66	16342	32441
67	16584	32193
68	16849	31989
69	17120	31795
70	17356	31534
71	17644	31367
72	17914	31165
73	18150	30904
74	18373	30622
75	18647	30424
76	18866	30138
77	19134	29927
78	19377	29680
79	19613	29419
80	19847	29158
81	20133	28972
82	20394	28749
83	20632	28493
84	20932	28320
85	21198	28100
86	21438	27845
87	21699	27618
88	21956	27383
89	22195	27127
90	22436	26874
91	22669	26612
92	22942	26396
93	23202	26164
94	23505	25979
95	23769	25750
96	24081	25571
97	24326	25318
98	24583	25080
99	24821	24821
100	25040	24544
101	25327	24334
102	25621	24128
103	25888	23896
104	26143	23653
105	26410	23420
106	26692	23200
107	26986	22988
108	27238	22740
109	27492	22493
110	27721	22227
111	27953	21963
112	28173	21690
113	28401	21425
114	28694	21209
115	28932	20950
116	29217	20726
117	29478	20485
118	29687	20207
119	29916	19944
120	30202	19718
121	30473	19482
122	30705	19222
123	30931	18958
124	31162	18697
125	31382	18431
126	31643	18188
127	31850	17915
128	32108	17671
129	32358	17423
130	32596	17169
131	32862	16929
132	33105	16677
133	33411	16456
134	33766	16257
135	34025	16011
136	34344	15793
137	34614	15551
138	34863	15299
139	35180	15077
140	35484	14848
141	35790	14618
142	36049	14369
143	36375	14146
144	36685	13915
145	36957	13669
146	37277	13440
147	37511	13179
148	37790	12934
149	38022	12674
150	38290	12425
151	38541	12171
152	38825	11926
153	39080	11673
154	39340	11421
155	39587	11165
156	39864	10918
157	40186	10682
158	40480	10438
159	40704	10176
160	40968	9924
161	41213	9667
162	41443	9407
163	41650	9142
164	41880	8883
165	42058	8614
166	42269	8352
167	42531	8101
168	42751	7841
169	42940	7577
170	43184	7323
171	43454	7073
172	43698	6820
173	43945	6566
174	44178	6311
175	44440	6060
176	44667	5804
177	44877	5546
178	45106	5291
179	45342	5038
180	45572	4783
181	45817	4531
182	46111	4283
183	46403	4035
184	46663	3783
185	46924	3531
186	47189	3280
187	47413	3026
188	47660	2773
189	47874	2519
190	48104	2266
191	48346	2014
192	48634	1763
193	48941	1513
194	49247	1262
195	49465	1009
196	49649	756
197	49893	503
198	50121	251
199	50401	0
