,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,1.1547822508589864,0.03940064417359642,29.308714998950233,8.031393838792397e-189,1.0775584073110596,1.2320060944069133
slope_st,0.4980346638593005,0.008475956699353481,58.758519129444,0.0,0.4814220939940467,0.5146472337245543
age,0.34991492666086227,0.0044732785634335895,78.22337055447656,0.0,0.34114746178371735,0.3586823915380072
blood_pressure,0.005116776127291986,0.0043718518712211295,1.1703910100373065,0.24184365180392275,-0.0034518960860454705,0.013685448340629442
cholesterol,0.09607398796842609,0.004374943375934497,21.960052899634267,6.941819368344828e-107,0.0874992565171924,0.10464871941965978
max_hr,-0.8391617261004821,0.006663943234928744,-125.92570142285359,0.0,-0.8522228148359619,-0.8261006373650024
st_depression,0.4971186582053821,0.016943442148359026,29.33988583031389,3.216310056742494e-189,0.46391012182046043,0.5303271945903038
sex_male,1.056551261788625,0.010609458303632382,99.58578765768762,0.0,1.0357571056180261,1.077345417959224
chest_pain_atypical angina,-1.7821172188712384,0.015164945835717977,-117.51556768991684,0.0,-1.8118399665367464,-1.7523944712057304
chest_pain_non-anginal pain,-1.6695058905435132,0.010068468576658851,-165.8152754644169,0.0,-1.6892397263332377,-1.6497720547537886
chest_pain_typical angina,-2.2418643729323455,0.026761026935618094,-83.77348067866909,0.0,-2.2943150219154633,-2.1894137239492277
rest_blood_sugar_true,-0.048333124073017084,0.016222337173652783,-2.9794180428894337,0.0028879647525646424,-0.08012832067844183,-0.016537927467592334
ekg_normal,-0.4271730431431146,0.008752193038824303,-48.80754357772911,0.0,-0.4443270262849524,-0.4100190600012768
ekg_st-t wave abnormality,-0.5189996813731562,0.0982989561625886,-5.279808673804425,1.2931884998901073e-07,-0.7116620951697115,-0.326337267576601
exercise_angina_True,1.21866672056811,0.04416545913853277,27.59320845608208,1.3424065607788375e-167,1.1321040112959104,1.3052294298403098
number_vessels_three,0.8534573633795101,0.03215649812588079,26.540743337117753,3.284695518229303e-155,0.7904317851838539,0.9164829415751662
number_vessels_two,0.8032767392306513,0.02209226520187503,36.360089465270185,1.820335562411632e-289,0.7599766950980688,0.8465767833632339
number_vessels_zero,-1.0652641245855117,0.01175173294571368,-90.64740745100538,0.0,-1.0882970979150433,-1.04223115125598
thallium_normal,-1.4411449788275836,0.029995588310774583,-48.045231315230325,0.0,-1.4999352516117925,-1.3823547060433747
thallium_reversible defect,0.5132710509057005,0.03025945835006292,16.962334387080436,1.560208568413149e-64,0.45396360234788735,0.5725784994635136
slope_st__sq,-0.15865346575799485,0.02188425915302683,-7.249661258743198,4.178152452396538e-13,-0.20154582552626849,-0.11576110598972124
chest_pain_x_max_hr__chest_pain_atypical angina__x__max_hr,-0.008333502626901471,0.016943668753379135,-0.4918357852834848,0.6228354365720663,-0.04154248314950125,0.02487547789569831
chest_pain_x_max_hr__chest_pain_non-anginal pain__x__max_hr,0.019537195999351175,0.011317323358522313,1.7263088965854307,0.08429185567947513,-0.002644350184746444,0.041718742183448794
chest_pain_x_max_hr__chest_pain_typical angina__x__max_hr,0.02244441409741697,0.029205343429122902,0.768503686727269,0.44218800121488666,-0.03479700717978744,0.07968583537462137
exercise_angina_x_slope_st__exercise_angina_True__x__slope_st,0.02646669599670557,0.016822243344502438,1.5733154879937563,0.11564578482992498,-0.00650429509768783,0.05943768709109897
exercise_angina_x_slope_st__exercise_angina_True__x__slope_st__sq,-0.03619963493088139,0.043021446469266776,-0.8414323064832633,0.40010579319164497,-0.12052012057346215,0.048120850711699366
st_depression_x_slope_st__st_depression__x__slope_st,0.072196838710921,0.007551213131886354,9.560958941293404,1.166705921432589e-21,0.05739673293283784,0.08699694448900416
st_depression_x_slope_st__st_depression__x__slope_st__sq,-0.06931359389955168,0.016026770428700078,-4.324863465656671,1.526263631116345e-05,-0.1007254867282954,-0.03790170107080796
